COLUMN_NAME          IS_NULLABLE DATA_TYPE            CHARACTER_MAXIMUM_LENGTH
-------------------- ----------- -------------------- ------------------------
Id                   NO          nvarchar                                  450
UserName             YES         nvarchar                                  256
NormalizedUserName   YES         nvarchar                                  256
Email                YES         nvarchar                                  256
NormalizedEmail      YES         nvarchar                                  256
EmailConfirmed       NO          bit                                      NULL
PasswordHash         YES         nvarchar                                   -1
SecurityStamp        YES         nvarchar                                   -1
ConcurrencyStamp     YES         nvarchar                                   -1
PhoneNumber          YES         nvarchar                                   -1
PhoneNumberConfirmed NO          bit                                      NULL
TwoFactorEnabled     NO          bit                                      NULL
LockoutEnd           YES         datetimeoffset                           NULL
LockoutEnabled       NO          bit                                      NULL
AccessFailedCount    NO          int                                      NULL
FirstName            NO          nvarchar                                  100
LastName             NO          nvarchar                                  100

(17 rows affected)
