id;name;website;address;person_id
1;Google;https://google.com/;188 Queens St, Brisbane;2f2bc9ecb7e541429600b82c4b4de64e
2;Facebook;https://www.facebook.com;188 Brisbane Queen St;eaed5345122c43efba626d539061db31
3;Washington Trust Bank;https://www.watrust.com/;188, Quuen St Brisbane;09b3fbe9bd1c4a70a9aeb804afaea3c9
4;Barclays;https://www.barclays.co.uk/;188, queen st brisbane;b12b1899fe4140f49d79735129786f78
5;Pfizer;https://www.pfizer.com;188 QUEEN STREET BRISBANE;190f35e157c4408ea1b0be517d4848ce
6;Sitecore;https://www.sitecore.com/;188 queen street brisbane;4e963db57140491a98d34acdeb467896
7;CluedIn;https://www.cluedin.com/;188, queen st brisbane;e01cba4402444643ace7d1774a30684b
8;Alex Bank;https://www.alex.bank/;queen st brisbane 188;1fb5e8c67cf24d77a9accdc23930c3ea
9;BUPA;https://www.bupa.com.au/;11 Titansgade Norrebro Copenhagen;76c096b08869448da75aa9696694f8b6
10;Michael Hill;https://www.michaelhill.com.au/;67 Marts Rd, Milton, Brisbane QLD;d50ab958ac354ab7a259e3e10579d874
